 Time, durationA, durationB, comment,,,,,,
오후 4:26:30,128,123,,,,,,,
오후 4:26:30,128,123,,,,,,,
오후 4:26:30,130,127,,,,,,,
오후 4:26:30,130,127,,,,,,,
오후 4:26:30,135,131,,,,,,,
오후 4:26:30,135,131,,,,,,,
오후 4:26:30,174,155,,,,,,,
오후 4:26:30,174,155,,,,,,,
오후 4:26:30,151,140,,,,,,,
오후 4:26:30,151,140,,,,,,,
오후 4:26:30,157,222,,,,,,,
오후 4:26:30,157,222,,,,,,,
오후 4:26:30,223,222,,,,,,,
오후 4:26:30,223,222,,,,,,,
오후 4:26:30,222,222,,,,,,,
오후 4:26:30,222,222,,,,,,,
오후 4:26:30,,,IN,,,,,,
오후 4:26:36,224,155,,,,,,,
오후 4:26:36,224,155,,,,,,,
오후 4:26:36,224,155,,,,,,,
오후 4:26:36,140,135,,,,,,,
오후 4:26:36,224,222,,,,,,,
오후 4:26:36,224,222,,,,,,,
오후 4:26:36,224,222,,,,,,,
오후 4:26:36,138,145,,,,,,,
오후 4:26:36,140,135,,,,,,,
오후 4:26:37,140,135,,,,,,,
오후 4:26:37,140,135,,,,,,,
오후 4:26:37,146,131,,,,,,,
오후 4:26:37,138,145,,,,,,,
오후 4:26:37,138,145,,,,,,,
오후 4:26:37,138,145,,,,,,,
오후 4:26:37,133,129,,,,,,,
오후 4:26:37,146,131,,,,,,,
오후 4:26:37,146,131,,,,,,,
오후 4:26:37,146,131,,,,,,,
오후 4:26:37,127,123,,,,,,,
오후 4:26:37,127,123,,,,,,,
오후 4:26:37,127,123,,,,,,,
오후 4:26:37,123,118,,,,,,,
오후 4:26:37,123,118,,,,,,,
오후 4:26:37,114,111,,,,,,,
오후 4:26:37,114,111,,,,,,,
오후 4:26:37,111,109,,,,,,,
오후 4:26:37,111,109,,,,,,,
오후 4:26:37,108,107,,,,,,,
오후 4:26:37,108,107,,,,,,,
오후 4:26:37,105,102,,,,,,,
오후 4:26:37,105,102,,,,,,,
오후 4:26:37,104,103,,,,,,,
오후 4:26:37,104,103,,,,,,,
오후 4:26:37,102,108,,,,,,,
오후 4:26:37,102,108,,,,,,,
오후 4:26:37,100,100,,,,,,,
오후 4:26:37,100,100,,,,,,,
오후 4:26:37,99,100,,,,,,,
오후 4:26:37,99,100,,,,,,,
오후 4:26:37,103,98,,,,,,,
오후 4:26:37,103,98,,,,,,,
오후 4:26:37,99,100,,,,,,,
오후 4:26:37,99,100,,,,,,,
오후 4:26:37,96,95,,,,,,,
오후 4:26:37,96,95,,,,,,,
오후 4:26:37,87,84,,,,,,,
오후 4:26:37,87,84,,,,,,,
오후 4:26:37,77,75,,,,,,,
오후 4:26:37,77,75,,,,,,,
오후 4:26:37,68,68,,,,,,,
오후 4:26:37,68,68,,,,,,,
오후 4:26:38,64,65,,,,,,,
오후 4:26:38,64,65,,,,,,,
오후 4:26:38,63,120,,,,,,,
오후 4:26:38,63,120,,,,,,,
오후 4:26:38,101,104,,,,,,,
오후 4:26:38,101,104,,,,,,,
오후 4:26:38,87,106,,,,,,,
오후 4:26:38,87,106,,,,,,,
오후 4:26:38,97,222,,,,,,,
오후 4:26:38,97,222,,,,,,,
오후 4:26:38,103,109,,,,,,,
오후 4:26:38,103,109,,,,,,,
오후 4:26:38,105,110,,,,,,,
오후 4:26:38,105,110,,,,,,,
오후 4:26:38,114,114,,,,,,,
오후 4:26:38,114,114,,,,,,,
오후 4:26:38,106,223,,,,,,,
오후 4:26:38,106,223,,,,,,,
오후 4:26:38,108,223,,,,,,,
오후 4:26:38,108,223,,,,,,,
오후 4:26:38,112,223,,,,,,,
오후 4:26:38,112,223,,,,,,,
오후 4:26:38,137,119,,,,,,,
오후 4:26:38,137,119,,,,,,,
오후 4:26:38,117,223,,,,,,,
오후 4:26:38,117,223,,,,,,,
오후 4:26:38,134,223,,,,,,,
오후 4:26:38,134,223,,,,,,,
오후 4:26:38,130,222,,,,,,,
오후 4:26:38,130,222,,,,,,,
오후 4:26:38,157,223,,,,,,,
오후 4:26:38,157,223,,,,,,,
오후 4:26:38,136,223,,,,,,,
오후 4:26:38,136,223,,,,,,,
오후 4:26:38,164,223,,,,,,,
오후 4:26:38,164,223,,,,,,,
오후 4:26:38,223,223,,,,,,,
오후 4:26:38,223,223,,,,,,,
오후 4:26:39,158,222,,,,,,,
오후 4:26:39,158,222,,,,,,,
오후 4:26:44,,,OUT,,,,,,
오후 4:26:44,163,222,,,,,,,
오후 4:26:44,163,222,,,,,,,
오후 4:26:44,163,222,,,,,,,
오후 4:26:44,143,184,,,,,,,
오후 4:26:44,143,184,,,,,,,
오후 4:26:44,143,184,,,,,,,
오후 4:26:44,143,184,,,,,,,
오후 4:26:44,145,223,,,,,,,
오후 4:26:45,159,222,,,,,,,
오후 4:26:45,159,222,,,,,,,
오후 4:26:45,159,222,,,,,,,
오후 4:26:45,149,152,,,,,,,
오후 4:26:45,152,169,,,,,,,
오후 4:26:45,152,169,,,,,,,
오후 4:26:45,152,169,,,,,,,
오후 4:26:45,146,147,,,,,,,
오후 4:26:45,146,146,,,,,,,
오후 4:26:45,146,146,,,,,,,
오후 4:26:45,146,146,,,,,,,
오후 4:26:45,137,142,,,,,,,
오후 4:26:45,146,147,,,,,,,
오후 4:26:45,146,147,,,,,,,
오후 4:26:45,146,147,,,,,,,
오후 4:26:45,144,134,,,,,,,
오후 4:26:45,137,142,,,,,,,
오후 4:26:45,137,142,,,,,,,
오후 4:26:45,137,142,,,,,,,
오후 4:26:45,127,132,,,,,,,
오후 4:26:45,144,134,,,,,,,
오후 4:26:45,144,134,,,,,,,
오후 4:26:45,144,134,,,,,,,
오후 4:26:45,127,141,,,,,,,
오후 4:26:45,127,132,,,,,,,
오후 4:26:45,127,132,,,,,,,
